Nb;Sc;Ta;Ti;Zr;Mo;Cr;Mn;Fe;Hf;Co;Si;Mg;V;W;Y;In;Ag;Ga;Cd;Sb;Te;Cu;Re;Ge;Hg;Ru;Al;As;Zn;Ni;Ir;Bi;Au;Pt;Pb;Rh;Pd;Sn;stoich_entropy;delta;avg_VEC;Formation Energy (eV/atom);Bulk Modulus (GPa);Shear Modulus (GPa);Density;Melting_Temperature;LMP;GB ratio;Omega;Log_10(K_A);Origin;Cluster;Normalized Composition
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.02;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.93;0.05;7.4;-0.13;153.46;49.95;8.16;2292.77;31.22;0.33;3.01;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.02W0.02
0.18;0.18;0.18;0.18;0.08;0.18;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.83;0.05;7.37;-0.14;156.14;55.73;8.05;2277.41;31.2;0.36;2.62;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.08Mo0.18W0.02
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.03;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;1.96;0.05;7.63;-0.13;154.19;48.63;8.32;2270.78;31.22;0.32;2.96;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.03W0.04
0.18;0.18;0.18;0.18;0.07;0.18;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.83;0.05;7.58;-0.14;157.54;55.8;8.31;2331.85;31.2;0.35;2.63;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.07Mo0.18W0.03
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.07;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.05;8.01;-0.13;156.29;50.7;8.58;2294.88;31.22;0.32;2.98;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.07W0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.87;0.05;7.14;-0.12;152.15;47.79;8.05;2324.47;31.3;0.31;3.11;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.04;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.95;0.05;7.57;-0.14;154.58;49.52;8.33;2267.66;31.22;0.32;2.76;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.04W0.02
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.03;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;1.96;0.05;7.67;-0.13;153.37;48.43;8.45;2293.67;31.22;0.32;2.96;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.03W0.04
0.18;0.18;0.18;0.18;0.09;0.18;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.84;0.05;7.44;-0.14;159.69;57.68;8.14;2244.54;31.2;0.36;2.62;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.09Mo0.18W0.03
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.03;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;1.96;0.05;7.66;-0.13;154.21;48.43;8.37;2286.69;31.22;0.31;3.0;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.03W0.04
0.18;0.18;0.18;0.18;0.12;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;0.05;7.01;-0.11;152.38;49.29;8.07;2323.07;31.3;0.32;3.38;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.12Mo0.18
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.02;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;1.95;0.05;7.54;-0.14;154.09;48.43;8.22;2272.78;31.22;0.31;2.78;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.02W0.04
0.17;0.17;0.17;0.17;0.14;0.17;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.05;7.24;-0.12;153.81;51.49;8.08;2255.46;31.22;0.33;2.92;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.14Mo0.17W0.02
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.02;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.95;0.05;7.52;-0.14;154.35;48.7;8.24;2273.21;31.22;0.32;2.81;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.02W0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.04;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.95;0.05;7.55;-0.13;154.68;49.52;8.28;2264.01;31.22;0.32;2.82;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.04W0.02
0.18;0.18;0.18;0.18;0.09;0.18;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.84;0.05;7.39;-0.14;159.77;57.68;8.1;2266.45;31.2;0.36;2.62;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.09Mo0.18W0.02
0.18;0.18;0.18;0.18;0.07;0.18;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;1.85;0.05;7.63;-0.14;157.51;54.97;8.32;2343.05;31.2;0.35;2.65;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.07Mo0.18W0.04
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.03;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.95;0.05;7.51;-0.13;154.12;49.46;8.23;2272.36;31.22;0.32;2.85;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.03W0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.02;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.92;0.05;7.37;-0.13;153.49;49.34;8.17;2291.1;31.22;0.32;2.99;0.32;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.02W0.02
0.16;0.16;0.16;0.16;0.16;0.16;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.05;7.12;-0.12;154.49;50.41;8.05;2264.63;31.22;0.33;3.05;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16W0.02
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.03;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.94;0.05;7.44;-0.13;154.93;49.95;8.21;2299.17;31.22;0.32;2.86;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.03W0.02
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.05;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.98;0.05;7.8;-0.13;156.25;48.96;8.47;2270.98;31.22;0.31;2.87;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.05W0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.87;0.05;7.16;-0.11;148.63;47.24;8.04;2299.08;31.3;0.32;3.29;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.03
0.19;0.19;0.18;0.19;0.05;0.19;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.81;0.05;7.52;-0.14;156.55;54.97;8.3;2344.05;31.2;0.35;2.61;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.18Ti0.19Zr0.05Mo0.19W0.03
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.06;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.97;0.05;7.77;-0.13;156.38;49.83;8.52;2284.25;31.22;0.32;2.98;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.06W0.02
0.17;0.17;0.17;0.17;0.12;0.17;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.05;7.22;-0.13;153.84;51.71;8.06;2258.25;31.22;0.34;2.81;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.12Mo0.17W0.03
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.08;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.05;8.06;-0.13;154.89;51.8;8.6;2292.35;31.22;0.33;2.99;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.08W0.03
0.18;0.18;0.18;0.18;0.07;0.18;;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.05;7.78;-0.13;159.36;54.78;8.54;2325.56;31.2;0.34;2.82;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.07Mo0.18W0.05
0.18;0.18;0.18;0.18;0.08;0.18;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.82;0.05;7.4;-0.14;156.14;55.73;8.04;2255.99;31.2;0.36;2.58;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.08Mo0.18W0.02
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.88;0.05;7.25;-0.11;148.54;47.24;8.01;2290.39;31.3;0.32;3.26;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.04
0.18;0.18;0.18;0.18;0.09;0.18;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.84;0.05;7.45;-0.13;159.69;57.75;8.14;2251.63;31.2;0.36;2.65;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.09Mo0.18W0.03
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.04;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.97;0.05;7.66;-0.14;154.14;48.54;8.34;2274.8;31.22;0.31;2.86;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.04W0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.04;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.96;0.05;7.59;-0.14;154.58;49.52;8.33;2267.23;31.22;0.32;2.8;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.04W0.02
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.02;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;1.97;0.05;7.8;-0.14;153.73;48.84;8.46;2352.28;31.22;0.32;2.89;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.02W0.05
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.03;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.94;0.05;7.47;-0.13;154.31;49.52;8.21;2292.17;31.22;0.32;2.89;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.03W0.02
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.07;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.05;8.05;-0.13;156.75;49.72;8.61;2296.15;31.22;0.32;2.98;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.07W0.03
0.15;0.15;0.15;0.15;0.15;0.15;;;;0.04;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.97;0.05;7.69;-0.13;155.86;48.54;8.38;2271.74;31.22;0.31;2.87;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.15Zr0.15Mo0.15Hf0.04W0.03
0.17;0.17;0.17;0.17;0.13;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.97;-0.11;152.56;49.07;8.07;2331.57;31.3;0.32;3.31;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.13Mo0.17
0.18;0.18;0.17;0.18;0.07;0.18;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.84;0.05;7.4;-0.14;156.14;55.8;8.03;2285.93;31.2;0.36;2.57;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.17Ti0.18Zr0.07Mo0.18W0.03
0.16;0.16;0.16;0.16;0.16;0.16;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.05;7.12;-0.12;154.49;50.41;8.05;2264.63;31.22;0.33;3.05;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16W0.02
0.16;0.16;0.16;0.16;0.16;0.16;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.87;0.05;7.18;-0.12;154.3;51.3;8.06;2260.28;31.22;0.33;3.08;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16W0.03
0.22;0.08;;0.22;0.05;0.22;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;1.68;0.05;7.65;-0.12;189.56;71.43;9.05;2326.65;31.28;0.38;2.74;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.22Sc0.08Ti0.22Zr0.05Mo0.22W0.19
0.2;0.14;;0.2;0.08;0.2;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;1.75;0.05;7.58;-0.1;178.34;62.43;8.61;2299.17;31.28;0.35;3.31;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.2Sc0.14Ti0.2Zr0.08Mo0.2W0.2
0.18;0.18;;0.18;0.1;0.18;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.06;7.24;-0.11;162.51;57.86;8.24;2310.84;31.2;0.36;3.22;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ti0.18Zr0.1Mo0.18W0.18
0.16;0.16;0.04;0.16;0.16;0.16;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;1.89;0.06;7.48;-0.11;158.83;55.55;8.42;2276.23;31.2;0.35;3.48;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.04Ti0.16Zr0.16Mo0.16W0.16
0.16;0.16;0.05;0.16;0.16;0.16;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;1.9;0.06;7.57;-0.1;160.17;55.74;8.55;2300.42;31.2;0.35;3.62;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.05Ti0.16Zr0.16Mo0.16W0.16
0.16;0.16;0.06;0.16;0.16;0.16;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;1.91;0.06;7.75;-0.1;163.58;56.09;8.59;2302.71;31.2;0.34;3.79;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.06Ti0.16Zr0.16Mo0.16W0.16
0.16;0.16;0.05;0.16;0.16;0.16;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;1.9;0.06;7.55;-0.1;160.32;56.17;8.54;2297.54;31.2;0.35;3.62;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.05Ti0.16Zr0.16Mo0.16W0.16
0.18;0.18;;0.18;0.07;0.18;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;1.75;0.06;7.33;-0.11;164.44;58.64;8.3;2311.24;31.2;0.36;3.29;0.36;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ti0.18Zr0.07Mo0.18W0.18
0.14;0.14;0.14;0.14;0.14;0.03;;;;0.14;;;;0.14;;0.03;;;;;;;;;;;;;;;;;;;;;;;;2.09;0.07;8.05;-0.06;143.05;53.42;8.35;2174.66;31.44;0.37;6.4;0.35;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.14Sc0.14Ta0.14Ti0.14Zr0.14Mo0.03Hf0.14V0.14Y0.03
0.21;0.21;0.21;0.17;;;;;;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;0.06;7.33;-0.08;162.09;61.0;7.98;2222.93;31.25;0.38;3.85;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.21Sc0.21Ta0.21Ti0.17V0.21
0.18;0.18;0.18;0.18;0.1;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.06;6.88;-0.07;159.22;62.29;7.85;2271.91;31.2;0.39;4.79;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.1V0.18
0.19;0.19;0.19;0.19;0.06;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.74;0.06;7.01;-0.08;158.61;63.33;7.84;2278.64;31.2;0.4;4.39;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.19Zr0.06V0.19
0.19;0.19;0.19;0.19;0.04;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;0.06;7.09;-0.08;167.25;64.88;7.87;2258.52;31.26;0.39;4.08;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.19Zr0.04V0.19
0.19;0.19;0.19;0.19;0.04;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;0.06;7.08;-0.08;167.25;64.88;7.87;2258.52;31.26;0.39;4.11;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.19Zr0.04V0.19
0.17;0.17;0.17;0.17;0.15;;;;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.06;6.71;-0.05;152.14;55.43;7.92;2248.03;31.2;0.36;6.31;0.32;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.15V0.17
0.18;0.18;0.18;0.18;0.1;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;0.06;6.87;-0.07;159.22;62.29;7.85;2271.91;31.2;0.39;4.94;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.1V0.18
0.19;0.19;0.19;0.19;0.05;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;0.06;7.03;-0.08;158.63;63.21;7.87;2276.17;31.28;0.4;4.51;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.19Zr0.05V0.19
0.19;0.19;0.19;0.06;0.19;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.74;0.06;6.99;-0.07;152.22;56.35;8.03;2248.68;31.22;0.37;4.8;0.32;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.06Zr0.19V0.19
0.17;0.17;0.17;0.17;0.12;;;;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.06;6.8;-0.08;158.97;59.94;7.83;2272.88;31.2;0.38;4.39;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.12V0.17
0.16;0.16;0.16;0.16;0.16;;;;;;;;;0.16;;;;;;;;;;;;;;;;0.03;;;;;;;;;;1.87;0.06;6.81;-0.12;154.84;51.74;7.92;2115.62;31.2;0.33;2.78;0.35;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16V0.16Zn0.03
0.18;0.18;0.18;0.18;0.12;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;0.06;6.83;-0.07;158.97;60.63;7.82;2282.08;31.2;0.38;5.1;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.12V0.18
0.19;0.19;0.19;0.19;0.04;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.72;0.06;7.07;-0.08;165.5;65.28;7.89;2260.06;31.28;0.39;4.1;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.19Zr0.04V0.19
0.18;0.18;0.18;0.18;0.11;;;;;;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;0.06;6.86;-0.07;159.22;61.24;7.85;2271.91;31.2;0.38;4.94;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.18Zr0.11V0.18
0.17;0.17;0.17;0.17;0.13;;;;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.06;6.78;-0.07;158.97;59.94;7.84;2256.76;31.2;0.38;4.9;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.13V0.17
0.19;0.19;0.19;0.19;0.05;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;0.06;7.04;-0.08;165.45;64.83;7.88;2259.72;31.28;0.39;4.48;0.3;Hamming & Gradient Augmentation;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.19Zr0.05V0.19
